threshold,dVIX_cutoff,days,days_with_positive_dVX1,dVIX_median,dVX1_median,dVX2_median,dVX3_median,vx2_vx1_median,vx2_vx1_mean,vx3_vx1_median
top 5.0% VIX up days,2.653000000000001,266,260,3.8550000000000004,2.5725,1.8018999999999998,1.3703000000000003,0.6861605107159142,0.8908134221724379,0.5272442267374345
top 2.5% VIX up days,3.8514999999999975,133,130,5.469999999999999,3.6999999999999993,2.4499999999999957,1.8999999999999986,0.6761566908466585,1.0331494777935997,0.5153077002370892
top 1.0% VIX up days,5.955799999999991,54,52,8.215000000000003,5.114749999999999,3.674999999999999,2.758000000000001,0.6515861597646638,1.2724516114684834,0.487741808671601
top 0.5% VIX up days,8.205900000000042,27,26,12.520000000000003,7.240000000000002,4.5,3.4399999999999977,0.721162391613029,0.7928696865827212,0.5436789772727273
