sample,start,end,days,mean,median,p05,p25,p75,p95,share_lt_15,share_15_20,share_20_30,share_ge_30
historical,1990-01-02,2026-05-05,9178,19.455592721725864,17.615000000000002,11.43,13.96,22.737499999999997,32.95449999999999,0.3222924384397472,0.3039877969056439,0.2934190455436914,0.0803007191109174
latest_3y,2023-05-05,2026-05-05,774,17.134405684754523,16.285,12.6125,14.192499999999999,18.5975,24.890999999999995,0.35012919896640826,0.479328165374677,0.1511627906976744,0.01937984496124031
