vix_close_bucket,historical,latest_3y
<10,0.007409021573327523,0.0
10-12.5,0.12301154935715843,0.041343669250646
12.5-15,0.19187186750926127,0.3087855297157623
15-17.5,0.170407496186533,0.3087855297157623
17.5-20,0.13358030071911092,0.17054263565891473
20-25,0.19895402048376554,0.12144702842377261
25-30,0.0944650250599259,0.029715762273901807
30-40,0.05763782959250381,0.014211886304909561
40-60,0.018522553933318805,0.00516795865633075
60+,0.004140335585094792,0.0
