r,carry_days,spike_95_days,carry_mean_daily_ret,carry_median_daily_ret,carry_prob_positive,spike95_median_point_pnl,spike95_p25_point_pnl,spike95_p05_point_pnl,spike95_prob_nonnegative,spike975_median_point_pnl,spike99_median_point_pnl
0.65,4172,266,0.0005305501773057589,0.0004008704431706189,0.5299616490891659,-0.09125000000000022,-0.3675000000000013,-1.5739612499999998,0.39473684210526316,-0.08842000000000017,-0.007062499999998861
0.675,4172,266,0.0005032387878935361,0.0003192297565906691,0.5237296260786194,-0.03525249999999902,-0.29483499999999974,-1.5334150000000006,0.45112781954887216,-0.005990000000000162,0.10425625000000127
0.7,4172,266,0.00047678064454588254,0.00018602995263951327,0.5115052732502396,0.022939999999999017,-0.2204199999999985,-1.43525,0.5375939849624061,0.09600000000000075,0.2150000000000014
0.75,4172,266,0.00042627110023379076,0.0,0.49928092042186,0.1363999999999983,-0.07187499999999836,-0.9434375000000015,0.6917293233082706,0.25,0.4666750000000017
0.8,4172,266,0.00037873752970340866,-0.00024394018813356913,0.47962607861936724,0.27095999999999965,0.06826000000000043,-0.8070000000000005,0.8120300751879699,0.4360000000000004,0.690850000000002
1.0,4172,266,0.00021370861508834265,-0.0007355681276355605,0.425215723873442,0.8112999999999992,0.4820750000000009,-0.5354000000000001,0.9210526315789473,1.1999999999999993,1.708700000000002
1.325,4172,266,9.192599533154134e-06,-0.0015325337505069764,0.42233940556088206,1.638625000000002,1.1612293749999996,-0.22964812500000026,0.943609022556391,2.354999999999996,3.294062499999999
1.4,4172,266,-2.9722535434969502e-05,-0.0016664355065623025,0.42233940556088206,1.8199999999999972,1.2965649999999993,-0.15909000000000034,0.943609022556391,2.621100000000003,3.722499999999999
