rolldown_pair,short_leg,near_leg,days,mean_roll_down_pct,median_roll_down_pct,mean_log_roll_down,contango_rate,p25,p75
M1->VIX,,VIX,5316,0.04109457417977276,0.03777203930851447,0.037744717769693605,0.7473664409330324,-0.0002977740232787962,0.08441981193060344
M2->M1,M2,M1,5318,0.05752385570847487,0.06395621787289973,0.05377752136252572,0.8286949981195938,0.019929572421030994,0.09994789229579298
M3->M2,M3,M2,5318,0.03413431304745261,0.03802569710940262,0.03272981513511213,0.8127115456938698,0.009787428901957052,0.061934829732969765
M4->M3,M4,M3,5287,0.022991358408727704,0.02472952086553315,0.022237714065007862,0.8051825231700397,0.005604398495499097,0.04248800603295688
M5->M4,M5,M4,4762,0.015795153514452268,0.015930248702161087,0.015348279595157062,0.7767744645107098,0.002662172295091969,0.030697366352359534
M6->M5,M6,M5,4684,0.01292809744646306,0.012300446012327937,0.012588300533891745,0.7561912894961571,0.0007657254355910026,0.02465436815332328
M7->M6,M7,M6,4671,0.01119444748139392,0.010080645161290258,0.01091829001999492,0.7692143010062085,0.0014706009567557743,0.021551990072114613
M8->M7,M8,M7,4368,0.007967281064909907,0.006888791221146717,0.007735422621139098,0.7158882783882784,-0.0011370196205609806,0.016398824580476423
M9->M8,M9,M8,3554,0.007616819565745533,0.0077590206139931395,0.007201474542405938,0.7087788407428249,0.0,0.016853932584269593
